"UserID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_score","Segment"
1360455,227,296,57090.0268,1,4,3,143,"Promising"
1360457,192,48,988.85,2,3,0,230,"Promising"
1360458,211,55,3522.08,1,4,3,143,"Promising"
1360460,221,91,373.54,1,4,0,140,"Need Attention"
1360462,8,9,113.1,4,2,0,420,"Loyalists"
1360463,224,67,556.41,1,4,0,140,"Need Attention"
1360465,215,11,74.22,1,2,1,121,"Need Attention"
1360468,134,190,5683.7782,2,4,3,243,"Promising"
1360469,99,19,76.72,3,2,1,321,"Potential Loyalists"
1360470,3,4,33.1929,4,1,1,411,"Loyalists"
1360471,3,6,53.1,4,1,1,411,"Loyalists"
1360472,65,41,2226.2,3,3,0,330,"Potential Loyalists"
1360474,217,98,1394.44,1,4,0,140,"Need Attention"
1360475,106,91,727.8977,3,4,0,340,"Potential Loyalists"
1360477,127,47,1143.07,2,3,0,230,"Promising"
1360478,220,173,2382.91,1,4,0,140,"Need Attention"
1360482,2,2,1,4,1,1,411,"Loyalists"
1360483,52,14,524.73,3,2,0,320,"Potential Loyalists"
1360484,4,5,324.6802,4,1,0,410,"Loyalists"
1360486,219,20,125.5,1,2,0,120,"Need Attention"
1360488,224,35,2640.38,1,2,0,120,"Need Attention"
1360492,209,40,126.32,2,3,0,230,"Promising"
1360493,141,133,1863.4843,2,4,0,240,"Promising"
1360495,132,42,2560.52,2,3,0,230,"Promising"
1360497,200,54,6163.56,2,4,3,243,"Promising"
1360499,1,4,145.8116,4,1,0,410,"Loyalists"
1360500,222,101,2609.96,1,4,0,140,"Need Attention"
1360501,117,19,1005.3346,2,2,0,220,"Promising"
1360502,222,57,1702.16,1,4,0,140,"Need Attention"
1360506,11,3,953.0914,4,1,0,410,"Loyalists"
1360507,23,6,70,3,1,1,311,"Potential Loyalists"
1360510,0,2,20,4,1,1,411,"Loyalists"
1360512,92,37,445.3745,3,2,0,320,"Potential Loyalists"
1360513,44,51,156.1358,3,3,0,330,"Potential Loyalists"
1360516,155,11,228,2,2,0,220,"Promising"
1360517,227,134,1427.7143,1,4,0,140,"Need Attention"
1360518,0,1,10,4,1,1,411,"Loyalists"
1360522,42,29,437.42,3,2,0,320,"Potential Loyalists"
1360525,4,2,30,4,1,1,411,"Loyalists"
1360526,12,14,395.2,4,2,0,420,"Loyalists"
1360528,0,2,40,4,1,1,411,"Loyalists"
1360529,15,15,1906.54,4,2,0,420,"Loyalists"
1360532,213,54,1206.8,1,4,0,140,"Need Attention"
1360533,35,12,117.01,3,2,0,320,"Potential Loyalists"
1360536,210,36,95.69,2,2,0,220,"Promising"
1360537,6,6,28.75,4,1,1,411,"Loyalists"
1360539,205,28,196.85,2,2,0,220,"Promising"
1360546,225,85,405.2249,1,4,0,140,"Need Attention"
1360548,28,29,133.52,3,2,0,320,"Potential Loyalists"
1360549,148,36,4211.3971,2,2,3,223,"Promising"
1360550,7,10,115.3,4,2,0,420,"Loyalists"
1360551,220,184,576.6021,1,4,0,140,"Need Attention"
1360554,144,7,60,2,1,1,211,"Promising"
1360555,46,32,513,3,2,0,320,"Potential Loyalists"
1360557,31,6,1575,3,1,0,310,"Potential Loyalists"
1360558,204,35,438.34,2,2,0,220,"Promising"
1360560,115,23,63.98,2,2,1,221,"Promising"
1360561,81,13,154.5,3,2,0,320,"Potential Loyalists"
1360566,226,58,544,1,4,0,140,"Need Attention"
1360567,75,57,1973.41,3,4,0,340,"Potential Loyalists"
1360570,4,4,60,4,1,1,411,"Loyalists"
1360574,174,85,157.22,2,4,0,240,"Promising"
1360575,117,98,1289.1269,2,4,0,240,"Promising"
1360580,223,64,633.98,1,4,0,140,"Need Attention"
1360581,85,13,2124.87,3,2,0,320,"Potential Loyalists"
1360583,73,10,478.876,3,2,0,320,"Potential Loyalists"
1360584,133,43,979.4132,2,3,0,230,"Promising"
1360585,208,28,1309,2,2,0,220,"Promising"
1360586,3,2,20,4,1,1,411,"Loyalists"
1360587,201,76,1536.51,2,4,0,240,"Promising"
1360588,196,36,3786.94,2,2,3,223,"Promising"
1360590,226,134,358.42,1,4,0,140,"Need Attention"
1360591,204,64,1502.9,2,4,0,240,"Promising"
1360594,NA,NA,NA,0,0,0,0,"Need Attention"
1360595,18,5,30,4,1,1,411,"Loyalists"
1360599,18,6,24.27,4,1,1,411,"Loyalists"
1360601,0,1,298,4,1,0,410,"Loyalists"
1360603,224,119,4229.09,1,4,3,143,"Promising"
1360606,6,14,908.7,4,2,0,420,"Loyalists"
1360614,114,14,58.84,3,2,1,321,"Potential Loyalists"
1360615,63,42,693.61,3,3,0,330,"Potential Loyalists"
1360616,1,3,112,4,1,0,410,"Loyalists"
1360619,90,3,165,3,1,0,310,"Potential Loyalists"
1360621,95,53,213.2,3,4,0,340,"Potential Loyalists"
1360623,9,21,322.09,4,2,0,420,"Loyalists"
1360625,9,11,224.6536,4,2,0,420,"Loyalists"
1360626,205,28,159.25,2,2,0,220,"Promising"
1360628,86,12,158,3,2,0,320,"Potential Loyalists"
1360630,226,170,3087.56,1,4,3,143,"Promising"
1360631,128,33,557.36,2,2,0,220,"Promising"
1360634,218,15,95.33,1,2,0,120,"Need Attention"
1360635,83,25,317.0971,3,2,0,320,"Potential Loyalists"
1360639,218,17,190,1,2,0,120,"Need Attention"
1360640,220,17,77,1,2,1,121,"Need Attention"
1360641,206,31,61,2,2,1,221,"Promising"
1360642,219,59,1917.5909,1,4,0,140,"Need Attention"
1360643,32,25,1488.92,3,2,0,320,"Potential Loyalists"
1360644,192,22,139.54,2,2,0,220,"Promising"
1360646,11,2,18.65,4,1,1,411,"Loyalists"
1360649,220,58,172.11,1,4,0,140,"Need Attention"
1360650,88,31,373.58,3,2,0,320,"Potential Loyalists"
1360653,204,16,150,2,2,0,220,"Promising"
1360654,219,37,120.26,1,2,0,120,"Need Attention"
1360660,5,5,42.596,4,1,1,411,"Loyalists"
1360661,46,41,689.35,3,3,0,330,"Potential Loyalists"
1360662,9,3,31,4,1,1,411,"Loyalists"
1360663,8,11,340.2,4,2,0,420,"Loyalists"
1360664,206,29,18,2,2,1,221,"Promising"
1360666,30,29,116,3,2,0,320,"Potential Loyalists"
1360667,224,23,109.52,1,2,0,120,"Need Attention"
1360668,43,46,376.9112,3,3,0,330,"Potential Loyalists"
1360670,222,20,220.6683,1,2,0,120,"Need Attention"
1360672,6,4,20,4,1,1,411,"Loyalists"
1360677,206,31,207,2,2,0,220,"Promising"
1360679,NA,NA,NA,0,0,0,0,"Need Attention"
1360680,0,1,60,4,1,1,411,"Loyalists"
1360685,120,20,277.9,2,2,0,220,"Promising"
1360689,223,52,181.73,1,4,0,140,"Need Attention"
1360690,96,4,5,3,1,1,311,"Potential Loyalists"
1360692,183,21,1119.5707,2,2,0,220,"Promising"
1360693,2,5,1960.6862,4,1,0,410,"Loyalists"
1360694,158,95,79626.8834,2,4,3,243,"Promising"
1360697,224,34,539.3441,1,2,0,120,"Need Attention"
1360698,2,4,27.7,4,1,1,411,"Loyalists"
1360699,12,12,66.0872,4,2,1,421,"Loyalists"
1360700,43,7,1740.8061,3,1,0,310,"Potential Loyalists"
1360701,212,46,1338.48,1,3,0,130,"Need Attention"
